scenario,accuracy,precision,recall,f1,roc_auc,confusion_matrix,model
human_vs_ai_all,0.9,1.0,0.875,0.9333333333333333,1.0,"[[2, 0], [1, 7]]",log_reg
human_vs_ai_all,0.9,1.0,0.875,0.9333333333333333,0.9375,"[[2, 0], [1, 7]]",linear_svm
human_vs_ai_all,0.8,0.8,1.0,0.8888888888888888,0.875,"[[0, 2], [0, 8]]",random_forest
human_vs_ai_all,0.9,1.0,0.875,0.9333333333333333,0.9375,"[[2, 0], [1, 7]]",gradient_boosting
human_vs_ai_weak,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 6]]",log_reg
human_vs_ai_weak,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 6]]",linear_svm
human_vs_ai_weak,0.875,0.8571428571428571,1.0,0.9230769230769231,1.0,"[[1, 1], [0, 6]]",random_forest
human_vs_ai_weak,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 6]]",gradient_boosting
human_vs_ai_strong,0.75,1.0,0.5,0.6666666666666666,1.0,"[[2, 0], [1, 1]]",log_reg
human_vs_ai_strong,0.75,1.0,0.5,0.6666666666666666,1.0,"[[2, 0], [1, 1]]",linear_svm
human_vs_ai_strong,0.75,1.0,0.5,0.6666666666666666,1.0,"[[2, 0], [1, 1]]",random_forest
human_vs_ai_strong,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 2]]",gradient_boosting
train_weak_test_strong,0.5,0.0,0.0,0.0,0.49,"[[10, 0], [10, 0]]",log_reg
train_weak_test_strong,0.5,0.0,0.0,0.0,0.35,"[[10, 0], [10, 0]]",linear_svm
train_weak_test_strong,0.75,1.0,0.5,0.6666666666666666,1.0,"[[10, 0], [5, 5]]",random_forest
train_weak_test_strong,0.5,0.0,0.0,0.0,0.5,"[[10, 0], [10, 0]]",gradient_boosting
train_strong_test_weak,0.3,1.0,0.06666666666666667,0.125,0.32,"[[10, 0], [28, 2]]",log_reg
train_strong_test_weak,0.4,1.0,0.2,0.3333333333333333,0.47,"[[10, 0], [24, 6]]",linear_svm
train_strong_test_weak,0.425,1.0,0.23333333333333334,0.3783783783783784,1.0,"[[10, 0], [23, 7]]",random_forest
train_strong_test_weak,0.6,1.0,0.4666666666666667,0.6363636363636364,0.7333333333333334,"[[10, 0], [16, 14]]",gradient_boosting
length_robustness_len_le_100,0.8,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.888888888888889,"[[2, 1], [2, 10]]",log_reg
length_robustness_len_le_100,0.8,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.888888888888889,"[[2, 1], [2, 10]]",linear_svm
length_robustness_len_le_100,0.8,0.8,1.0,0.8888888888888888,0.9166666666666666,"[[0, 3], [0, 12]]",random_forest
length_robustness_len_le_100,0.9333333333333333,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333,"[[3, 0], [1, 11]]",gradient_boosting
